"","GSM8393322","GSM8393323","GSM8393324","GSM8393325","GSM8393326","GSM8393327","GSM8393328","GSM8393329","GSM8393330","GSM8393331"
"ENSG00000290928",7.055833,8.182371,7.176783,7.241921,7.404775,5.980748,8.537351,8.736573,7.59036,8.533308
"ENSG00000290931",1.871888,2.514312,1.764185,1.603295,1.50106,3.043107,2.314127,1.950137,1.58764,2.9657
"ENSG00000290932",0,0.186922,0,0,0,0,0,0,0,0
"ENSG00000290933",0,0,0,0,0,0,0,0,0,0
"ENSG00000290934",0.0656802,0.0541761,0.0402842,0,0,0,0,0,0,0
"ENSG00000290936",0.141498,0,0,0,0,0,0,0,0,0
"ENSG00000290937",0.559533,0.405827,0.448016,0.515732,0.457215,0.426157,0.373465,0.452606,0.599827,0.324583
"ENSG00000290939",0.912949,1.63905,0.145161,0.650511,1.08639,0.549552,1.4119,1.61455,0.754949,0.891905
"ENSG00000290941",0,0,0,0,0,0,0,0,0.0613057,0
"ENSG00000290944",0,0,0,0,0,0,0,0,0,0
"ENSG00000290945",1.93994,0.473882,1.49766,2.19891,1.71705,1.46712,0.371423,1.58229,0.400837,1.64219
"ENSG00000290947",2.15348,2.37224,1.8557,1.73077,2.43106,1.72976,1.87876,2.13718,2.16253,2.12658
"ENSG00000290950",0.1336,0.0799643,0.113097,0.239135,0.0776944,0.0744997,0.114719,0,0.0741645,0
"ENSG00000290951",1.45691,2.61738,2.77165,2.34881,1.33468,3.46631,3.17038,3.24644,2.56223,2.47531
"ENSG00000290952",0,0,0.138168,4.7941e-08,0.179888,0,0,0,0,0
"ENSG00000290953",0,0,0,0,0,0,0,0,0,0
"ENSG00000290957",0.391303,0.581049,0.471207,0.122894,0,0.112722,0.413218,0.16442,0.507862,0.325361
"ENSG00000290959",0.201082,0,0.17768,0,0,0,0.191621,0,0,0
"ENSG00000290960",3.23818,2.40818,2.992,2.97339,2.76101,2.66004,2.48303,2.65542,3.27422,2.61148
"ENSG00000290963",2.60846,1.30615,1.33465,1.56728,1.50733,1.26811,2.39144,2.89802,0.99142,1.5345
"ENSG00000290964",0.0585502,0.138621,0.179617,0.363226,0.074431,0.290204,0.301377,0.0972503,0.12951,0.1234388
"ENSG00000290967",0,0,0,0,0,0.047551,0,0,0,0
"ENSG00000290968",0,0.0566531,0,0,0.645712,0,0.400979,0.39759,0,0.409715
"ENSG00000290971",0,0.0144812,0,0,0,0.014322,0,0.0503747,0,0
"ENSG00000290972",0.233548,0.154269,0.306452,0.101799,0.301144,0.205349,0.177739,0.123205,0.193699,0.370203
"ENSG00000290973",0,0,0,0,0.0288321,0,0.0264662,0.066183,0.146782,0.023619
"ENSG00000290975",0,0,0,0,0,0,0,0,0,0
"ENSG00000290976",1.1269109,1.420133,1.235029,1.343594,0.990653,1.002888,1.57375,1.0306643,0.483996,0.972451
"ENSG00000290977",0,0,0,0,0,0,0,0,0.0335257,0.0267725
"ENSG00000290980",0.258709,0,0,0,0,0,0,0,0,0
"ENSG00000290981",0,0,0,0.0506617,0.0576527,0,0,0,0,0.324134
"ENSG00000290982",0,0,0,0,0,0,0,0,0,0
"ENSG00000290984",0.544725,0.880287,0.774751,0.572769,0.694418,0.386597,0.584283,0.482724,0.680589,0.859757
"ENSG00000290986",1.02455,0.847334,0.951898,0.758131,0.782014,1.15379,0.940135,0.768433,0.846539,1.37293
