"","mean","sd","max","min"
"TAAR1",0.022532210778438,0.11515276539136,0.667025798,-0.39257545
"TAAR2",-0.0291570338998302,0.107610866085663,0.595623674,-0.527239502
"TAAR5",0.147072014736842,0.110777467299523,0.773837542,-0.250061062
"TAAR6",0.0615401987606112,0.0773212067184692,0.472448353,-0.283949521
"TAAR8",0.0183084529830221,0.087762120916902,0.342355379,-0.310263949
"TAB1",0.0647422837996604,0.105244664152829,0.495955797,-0.398139122
"TAB2",0.0719744466494058,0.126049079456806,0.486094987,-0.834863875
"TAB3",0.0395212675398981,0.0841100771139267,0.32227282,-0.451604432
"TAC1",0.067254509811545,0.105323814129519,0.514945755,-0.580254985
"TAC3",-0.184217392669779,0.119070027441883,0.240337197,-0.651561671
"TAC4",-0.157390434366723,0.11624996491237,0.290410009,-0.672420602
"TACC1",-0.0889540985908319,0.116793733515645,1.152948866,-0.922297286
"TACC2",-0.0284439858344652,0.10998716726927,0.831362334,-0.496947247
"TACC3",-0.511497466589134,0.297464511457269,0.300156148,-1.913610209
"TACO1",-0.118309769337012,0.137544233426039,0.320845495,-1.124816546
"TACR1",-0.0916083146468591,0.107522311330394,0.268789638,-0.49089453
"TACR2",0.0222644424006791,0.114390728114851,0.638810155,-0.42252368
"TACR3",-0.0869904622809847,0.086122098915064,0.192794893,-0.392170467
"TACSTD2",-0.0269219480602716,0.126182843274153,0.706753344,-0.583976253
"TADA1",-0.116044458063667,0.402573546311114,1.380619602,-1.550573853
"TADA2A",-0.556704809848047,0.19817862947596,0.040270702,-1.378749394
"TADA2B",-0.143922201315789,0.358891145933531,1.312875417,-1.514140645
"TADA3",-0.191153265188455,0.24000654405475,0.727210258,-1.033875632
"TAF1",-0.775559093177419,0.203824400965604,0.145060547,-1.739009719
"TAF10",-0.728886294423599,0.2356307511095,0.167895781,-1.725464384
"TAF11",-0.266717290664686,0.150215504454786,0.210136782,-1.072567561
"TAF12",-0.811355450573854,0.201357336676773,-0.113831494,-1.56324926
"TAF13",-0.491307164335314,0.196321099400538,0.200400732,-1.349698507
"TAF15",-0.0709696216095076,0.135811004750271,0.351114802,-0.806996936
"TAF1A",-0.742358362854839,0.199497344487614,0.06462814,-1.73512423
"TAF1B",-0.932128593864177,0.215745181480282,0.101493497,-1.830968649
"TAF1C",-1.0805812333107,0.320445217059739,-0.003609258,-2.424576444
"TAF1D",-0.685421049196944,0.243191886839662,0.459589037,-1.565406636
"TAF1L",0.0396662565025467,0.111028535170292,0.631823513,-0.415068276
"TAF2",-0.808614030455857,0.210415681980926,-0.153815019,-1.60438511
