"","genes","diff_","t_","p_"
"251","CDKN1A",0.073518325,-3.04226655202511,0.195982499609132
"252","CDS2",0.034790315,-1.22150715938623,0.43558727029563
"253","CDT1",0.043152635,-1.04382911775998,0.4442928180688
"254","CEBPZ",0.0168707049999999,-1.12943946116987,0.408823273425737
"255","CENATAC",-0.0563261500000001,1.18020397470951,0.424574983989753
"256","CENPA",-0.00427884999999995,0.129508660121817,0.912608240859704
"257","CENPC",0.03494762,-2.85112731941678,0.109774390381982
"258","CENPE",-0.0156249450000001,0.490122874241137,0.689125765104184
"259","CENPH",-0.04213685,1.47331170523474,0.286970360376803
"260","CENPI",0.04830194,-0.729198785285684,0.543546444345779
"261","CENPK",-0.044041385,1.12857780641788,0.449390370272225
"262","CENPM",0.05524335,-2.45236770146722,0.244971164109989
"263","CENPN",0.0261881850000001,-0.446445085368828,0.699193114345256
"264","CENPO",-0.00202297499999993,0.0440474569582738,0.969043339299508
"265","CENPP",0.02763028,-0.952868188303003,0.449645188335404
"266","CENPT",0.0189486300000001,-0.597974796401296,0.61516751956027
"267","CENPW",0.02999723,-0.834699958539108,0.527535679314679
"268","CEP192",0.01572767,-0.828721705022036,0.519835849655387
"269","CEP43",0.100272365,-2.18620042895637,0.235090333102727
"270","CEP55",0.0223490299999999,-0.229870234141435,0.843460455082704
